Month,Albd,AirTemp,LSTday,LSTNight,PCP,WS,RH,SW,LW,SH,LH,SCA% 
3/1/2009,0.594580141,-0.777908937,12.20574121,0.102391304,104.4469293,0.918703934,50.86484255,94.28391256,-59.74109799,-8.902175138,-18.2657088,74.82441516
4/1/2009,0.489752638,3.577707866,18.11714126,3.720440357,136.1162677,0.865992741,56.68625008,139.317734,-66.81450034,-18.4336596,-38.27267827,58.17032334
5/1/2009,0.338234029,9.423618995,26.54705611,9.392211538,67.05448894,0.919314158,47.71290704,209.310774,-91.40914506,-30.80955331,-62.15837539,37.0906586
6/1/2009,0.2459274,12.36289281,28.83137353,11.28111622,86.49596089,0.609790102,57.32957906,230.9594935,-95.31036198,-42.14685988,-72.04130737,20.46707354
7/1/2009,0.18780101,16.58737149,30.71622278,15.40984114,87.1051371,0.460636599,52.22101843,240.9737251,-100.5779616,-50.05982441,-74.34524737,7.179481759
8/1/2009,0.158769285,17.32607623,29.14262982,14.50419732,77.08268366,0.562668185,45.68655276,230.7980874,-105.4815022,-51.43093451,-67.20500234,0.729924097
9/1/2009,0.159232379,13.22027737,27.21952261,11.87847826,52.32185213,0.412650395,44.16173317,206.0663822,-107.9853692,-41.68432491,-56.24506159,2.309030872
10/1/2009,0.169396885,6.418539027,19.41380793,4.227904125,29.18918646,0.483389136,47.34625059,169.1548583,-104.3709935,-37.53028481,-32.24095188,5.545621824
11/1/2009,0.391626219,-0.999983587,11.35626466,-0.300543478,66.80491152,0.847178047,45.45983216,96.10081675,-73.1737201,-13.62868798,-15.10389475,40.49268886
12/1/2009,0.571969929,-6.165456265,3.74330402,-5.019841137,48.39648673,1.098332371,47.52187956,56.540334,-52.86260452,-3.911984075,-6.798258216,69.29718179
1/1/2010,0.501068823,-4.840750871,5.954250419,-4.591070234,51.64396935,1.02939043,43.77265059,74.63733099,-62.67677856,-6.264522925,-7.723638525,62.47766691
2/1/2010,0.704733055,-5.127101385,2.587659129,-6.360183946,197.0477052,0.894472011,66.93346583,51.18076013,-40.99995008,-3.201442343,-6.322394679,87.3512104
3/1/2010,0.513186128,1.9354401,16.63285176,3.529414716,66.85705142,1.04171291,42.63549179,121.5810042,-71.38417672,-12.92528527,-26.42563772,63.25234944
4/1/2010,0.370754798,6.784532603,21.98294249,6.443701226,109.6012943,0.759257309,58.5322876,169.6056667,-78.9108134,-28.78399704,-45.50804502,39.31113428
5/1/2010,0.28721927,10.43014297,25.62342965,9.783754181,127.7329616,0.746821737,54.30850888,207.5480032,-88.02594204,-34.3625012,-68.8981394,25.32868719
6/1/2010,0.229197754,12.87464055,28.28278476,12.20984532,92.34003134,0.527128686,57.65643166,233.9265238,-96.08491508,-44.42391002,-76.62843922,15.69715886
7/1/2010,0.182944776,16.16163315,27.94986181,13.99323997,217.8536656,0.410868281,58.61962881,218.3411179,-88.47130369,-42.77667425,-74.79090903,5.88847873
8/1/2010,0.161915709,16.14145162,24.01276801,12.6397199,161.2726821,0.292828386,63.33311189,186.3161462,-73.89596868,-31.84497917,-74.79496271,1.417162487
9/1/2010,0.171715218,12.16605806,23.54567839,9.810710702,82.40106003,0.347435198,52.01642714,191.5240901,-95.03019916,-37.37562954,-60.23003015,4.328981049
10/1/2010,0.181867616,7.610401649,20.96572306,7.09057971,21.71716308,0.571022756,37.91358744,170.4889363,-104.5272323,-29.56751147,-40.50332342,7.474499929
11/1/2010,0.186834097,2.389995229,15.10514238,2.296772575,10.22688833,0.662492197,33.1981139,135.7046633,-100.0797462,-19.97219375,-20.92199546,9.664739155
12/1/2010,0.243221916,-2.617898234,8.53491206,-3.259205686,25.9145102,0.855113641,34.62199598,108.134601,-92.41400134,-16.47368421,-8.02020647,19.59420623
1/1/2011,0.544905466,-7.590494279,3.535372697,-6.514180602,43.23985978,1.092226104,46.62790101,69.79080603,-63.06159715,-8.491039608,-4.929899173,64.46893221
2/1/2011,0.747883618,-6.111804594,-0.450871022,-8.442976589,230.7896251,0.783133676,65.85508492,40.32633183,-36.80073568,-1.916087659,-4.192560969,91.93887707
3/1/2011,0.644565377,-1.276720973,13.74845059,0.609765886,97.60653652,1.025683285,47.09136533,89.53984539,-60.15453417,-5.905280299,-14.72916577,82.65990182
4/1/2011,0.458041953,3.513126816,21.97106086,6.356309922,107.616972,0.772884021,49.90564489,151.5187568,-75.91138693,-19.50799107,-39.82571864,53.66557945
5/1/2011,0.29293156,11.42271996,29.35828308,11.98397157,40.99388206,0.796534809,44.18650251,226.0705742,-98.81769564,-34.50160375,-65.55273209,30.14043774
